"collected_at","title","organization","category","region","amount","application_start","application_deadline","url","source","status","summary","data_formats","updated_at"
"2026-08-24T21:07:09.326Z","公益法人に対する国からの支出の点検・見直し","農林水産省","補助金","全国","","","","https://data.e-gov.go.jp/data/dataset/maff_20140918_0291","e-Govデータポータル（補助金）","ok","公益法人に対する支出の公表・点検について（平成24年6月1日付け行政改革実行本部決定）に基づく、農林水産省における、公益法人に対する国からの支出に係る点検・見直し結果の公表","PDF / XLS","2023-05-19"
"2026-08-24T21:07:09.326Z","補助金等の手続の簡素化","農林水産省","補助金","全国","","","","https://data.e-gov.go.jp/data/dataset/maff_20140918_0302","e-Govデータポータル（補助金）","ok","農林水産業の補助金等の申請手続の簡素化に関する情報","","2025-04-11"
"2026-08-24T21:07:09.326Z","公益法人に対する国からの支出の点検・見直し","農林水産省","補助金","全国","","","","https://data.e-gov.go.jp/data/dataset/maff_20140918_0292","e-Govデータポータル（補助金）","ok","公益法人に対する支出の公表・点検について（平成24年6月1日付け行政改革実行本部決定）に基づく、農林水産省における、平成24年度の公益法人に対する国からの支出に係る点検・見直し結果の公表","PDF / XLS","2023-05-23"
"2026-08-24T21:07:09.326Z","令和３年木質バイオマスエネルギー利用動向調査","農林水産省","補助金","全国","","","","https://data.e-gov.go.jp/data/dataset/maff_20230210_0100","e-Govデータポータル（補助金）","ok","本調査は、毎年、木質バイオマスのエネルギー利用動向を把握するため、木質バイオマスをエネルギー利用している事業所の概要、利用した設備の動向、公的補助の活用状況、利用した木質バイオマス量等の調査を行い","PDF / XLS","2024-07-02"
"2026-08-24T21:07:09.326Z","令和２年木質バイオマスエネルギー利用動向調査","農林水産省","補助金","全国","","","","https://data.e-gov.go.jp/data/dataset/maff_20211227_0068","e-Govデータポータル（補助金）","ok","本調査は、毎年、木質バイオマスのエネルギー利用動向を把握するため、木質バイオマスをエネルギー利用している事業所の概要、利用した設備の動向、公的補助の活用状況、利用した木質バイオマス量等の調査を行い","PDF / XLS","2024-06-29"
"2026-08-24T21:07:09.326Z","平成27年木質バイオマスエネルギー利用動向調査","農林水産省","補助金","全国","","","","https://data.e-gov.go.jp/data/dataset/maff_20170824_0038","e-Govデータポータル（補助金）","ok","木質バイオマスエネルギーの動向を把握し、これを利用した発電施設等における木材利用の推進、木材の安定供給など森林・林業施策の推進に資するとともに、木材需給表や森林・林業基本計画等の基礎資料として活用","PDF / XLS","2023-05-23"
"2026-08-24T21:07:09.326Z","平成29年木質バイオマスエネルギー利用動向調査","農林水産省","補助金","全国","","","","https://data.e-gov.go.jp/data/dataset/maff_20190516_0007","e-Govデータポータル（補助金）","ok","木質バイオマスエネルギーの動向を把握し、これを利用した発電施設等における木材利用の推進、木材の安定供給など森林・林業施策の推進に資するとともに、木材需給表や森林・林業基本計画等の基礎資料として活用","PDF / XLS","2023-05-20"
"2026-08-24T21:07:09.326Z","平成27年木質バイオマスエネルギー利用動向調査","農林水産省","補助金","全国","","","","https://data.e-gov.go.jp/data/dataset/maff_20180911_0151","e-Govデータポータル（補助金）","ok","木質バイオマスエネルギーの動向を把握し、これを利用した発電施設等における木材利用の推進、木材の安定供給など森林・林業施策の推進に資するとともに、木材需給表や森林・林業基本計画等の基礎資料として活用","PDF / XLS","2023-05-17"
"2026-08-24T21:07:09.326Z","平成24年度当初予算 非公共事業関係資料_地方公共団体向け","農林水産省","補助金","全国","","","","https://data.e-gov.go.jp/data/dataset/maff_20140918_0315","e-Govデータポータル（補助金）","ok","平成24年度当初予算の非公共事業地方公共団体向け予算の概要","PDF","2023-04-19"
"2026-08-24T21:07:09.326Z","平成30年木質バイオマスエネルギー利用動向調査","農林水産省","補助金","全国","","","","https://data.e-gov.go.jp/data/dataset/maff_20200813_0092","e-Govデータポータル（補助金）","ok","本調査は、毎年、木質バイオマスのエネルギー利用動向を把握するため、木質バイオマスをエネルギー利用している事業所の概要、利用した設備の動向、公的補助の活用状況、利用した木質バイオマス量等の調査を行い","PDF / XLS","2023-05-19"
"2026-08-24T21:07:09.326Z","平成29年木質バイオマスエネルギー利用動向調査","農林水産省","補助金","全国","","","","https://data.e-gov.go.jp/data/dataset/maff_20190201_0007","e-Govデータポータル（補助金）","ok","木質バイオマスエネルギーの動向を把握し、これを利用した発電施設等における木材利用の推進、木材の安定供給など森林・林業施策の推進に資するとともに、木材需給表や森林・林業基本計画等の基礎資料として活用","PDF / XLS","2023-05-11"
